crop_name,soil_ph_min,soil_ph_max,nitrogen_requirement,phosphorus_requirement,potassium_requirement,moisture_requirement,humidity_requirement,temperature_min,temperature_max,soil_type,water_requirement,growing_season,expected_growth_days,yield_category,fertilizer_preference,terrain_type,rainfall_requirement,commercial_priority,region_support,irrigation_type,district_support,district_category,water_source_type,climate_zone,district_priority_score
Spring Onion,6.0,7.5,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,13,27,Sandy,MEDIUM,Rabi,60,LOW,Mixed,PLAIN,MEDIUM,50,"NORTH_INDIA,SOUTH_INDIA",DRIP,"Erode,Salem,Coimbatore,Tiruchirapalli,Nilgiris",SEMI_ARID,BOREWELL,MODERATE,48
Asparagus,6.0,8.0,HIGH,MEDIUM,HIGH,MEDIUM,LOW,15,30,Sandy,MEDIUM,Rabi,365,MEDIUM,Chemical,PLAIN,MEDIUM,52,"NORTH_INDIA,TEMPERATE",DRIP,"Nilgiris,Coimbatore,Erode",HILL,BOREWELL,MODERATE,45
Bamboo Shoot,5.0,7.0,MEDIUM,LOW,MEDIUM,HIGH,HIGH,15,35,Loamy,HIGH,All Season,365,HIGH,Organic,HILL,HIGH,55,"NORTH_INDIA,HILL_REGION,TROPICAL",RAINFED,"Nilgiris,Theni,Dindigul,Tirunelveli,Tenkasi",HILL,RAINFED,HUMID,50
Perilla,5.5,7.0,MEDIUM,MEDIUM,LOW,MEDIUM,MEDIUM,15,25,Loamy,MEDIUM,Summer,90,LOW,Organic,PLAIN,MEDIUM,35,"NORTH_INDIA,TEMPERATE",RAINFED,Nilgiris,HILL,RAINFED,COOL,28
Roselle (Hibiscus),6.0,8.0,MEDIUM,MEDIUM,MEDIUM,MEDIUM,HIGH,20,35,Sandy,MEDIUM,Kharif,150,MEDIUM,Organic,PLAIN,MEDIUM,45,"SOUTH_INDIA,TROPICAL",RAINFED,"Tirunelveli,Thoothukudi,Ramanathapuram,Sivagangai",DRY_ZONE,RAINFED,DRY,42
Okra (Long),6.0,7.0,HIGH,MEDIUM,HIGH,MEDIUM,HIGH,25,42,Red Soil,MEDIUM,Kharif,65,HIGH,Mixed,PLAIN,MEDIUM,68,"SOUTH_INDIA,TROPICAL",DRIP,"Erode,Salem,Coimbatore,Tiruchirapalli,Villupuram",SEMI_ARID,BOREWELL,HOT,65
Palak (Beta variety),6.5,7.5,HIGH,MEDIUM,LOW,HIGH,MEDIUM,10,22,Loamy,HIGH,Rabi,45,MEDIUM,Organic,PLAIN,MEDIUM,50,"NORTH_INDIA,TEMPERATE",SPRINKLER,"Nilgiris,Coimbatore,Erode,Salem",HILL,BOREWELL,MODERATE,48
Watermelon (Seedless),6.0,7.0,MEDIUM,HIGH,HIGH,LOW,LOW,22,40,Sandy,MEDIUM,Summer,85,HIGH,Chemical,PLAIN,LOW,72,"SOUTH_INDIA,NORTH_INDIA,SEMI_ARID",DRIP,"Tiruvannamalai,Ramanathapuram,Sivagangai,Thoothukudi,Pudukkottai",DRY_ZONE,BOREWELL,DRY,70
Mango (Alphonso),5.5,7.0,MEDIUM,MEDIUM,HIGH,MEDIUM,LOW,24,38,Red Soil,MEDIUM,All Season,365,HIGH,Mixed,PLAIN,MEDIUM,85,"SOUTH_INDIA,TROPICAL",DRIP,"Krishnagiri,Dharmapuri,Salem,Erode,Vellore",SEMI_ARID,BOREWELL,HOT,85
Paddy (Hybrid),5.5,6.5,HIGH,HIGH,HIGH,HIGH,HIGH,22,35,Clay,HIGH,Kharif,100,HIGH,Chemical,RIVER_BELT,HIGH,93,"SOUTH_INDIA,NORTH_INDIA,TROPICAL",FLOOD,"Thanjavur,Tiruvarur,Nagapattinam,Tiruchirapalli,Ariyalur,Cuddalore",DELTA,CANAL,HUMID,96
Maize (Hybrid),5.5,7.0,HIGH,HIGH,HIGH,MEDIUM,MEDIUM,20,35,Loamy,MEDIUM,Kharif,80,HIGH,Chemical,PLAIN,MEDIUM,88,"NORTH_INDIA,SOUTH_INDIA,TROPICAL",DRIP,"Dharmapuri,Krishnagiri,Salem,Namakkal,Erode",CENTRAL_ZONE,BOREWELL,MODERATE,85
Cotton (Bt),6.0,7.5,HIGH,HIGH,HIGH,MEDIUM,LOW,22,35,Black Soil,MEDIUM,Kharif,175,HIGH,Chemical,PLAIN,MEDIUM,91,"SOUTH_INDIA,NORTH_INDIA,SEMI_ARID",DRIP,"Coimbatore,Erode,Salem,Tiruppur,Virudhunagar",SEMI_ARID,BOREWELL,HOT,88
Wheat (HD 2967),6.0,7.5,HIGH,HIGH,MEDIUM,MEDIUM,LOW,12,25,Loamy,MEDIUM,Rabi,115,HIGH,Chemical,PLAIN,MEDIUM,94,"NORTH_INDIA,TEMPERATE",SPRINKLER,Nilgiris,HILL,RAINFED,COOL,38
Sugarcane (CoC),6.0,7.5,HIGH,HIGH,HIGH,HIGH,HIGH,22,40,Loamy,HIGH,All Season,360,HIGH,Chemical,RIVER_BELT,HIGH,92,"SOUTH_INDIA,TROPICAL",DRIP,"Erode,Thanjavur,Tiruchirapalli,Cuddalore,Villupuram",DELTA,CANAL,HOT,92
Sunflower (Hybrid),6.0,7.5,HIGH,HIGH,MEDIUM,MEDIUM,LOW,20,35,Loamy,MEDIUM,Kharif,85,HIGH,Chemical,PLAIN,MEDIUM,78,"SOUTH_INDIA,NORTH_INDIA",DRIP,"Erode,Salem,Dharmapuri,Krishnagiri,Tiruvannamalai",SEMI_ARID,BOREWELL,HOT,76
Groundnut (TMV),6.0,7.0,LOW,HIGH,HIGH,MEDIUM,MEDIUM,25,35,Sandy,MEDIUM,Kharif,110,HIGH,Chemical,PLAIN,MEDIUM,87,"SOUTH_INDIA,SEMI_ARID",RAINFED,"Villupuram,Cuddalore,Tiruvannamalai,Ramanathapuram,Sivagangai",DRY_ZONE,RAINFED,DRY,90
Soybean (JS 335),6.0,7.5,MEDIUM,HIGH,MEDIUM,MEDIUM,HIGH,22,32,Loamy,MEDIUM,Kharif,90,HIGH,Mixed,PLAIN,MEDIUM,82,"NORTH_INDIA,TROPICAL",RAINFED,"Dharmapuri,Krishnagiri,Erode,Salem",SEMI_ARID,BOREWELL,MODERATE,62
Potato (Kufri),5.0,6.5,MEDIUM,HIGH,HIGH,HIGH,MEDIUM,15,25,Sandy,HIGH,Rabi,85,HIGH,Chemical,HILL,MEDIUM,86,"NORTH_INDIA,HILL_REGION,TEMPERATE",SPRINKLER,"Nilgiris,Dindigul,Kodaikanal",HILL,RAINFED,COOL,72
Tomato (Hybrid),5.5,7.0,HIGH,HIGH,HIGH,MEDIUM,MEDIUM,20,30,Loamy,MEDIUM,All Season,85,HIGH,Chemical,PLAIN,MEDIUM,84,"SOUTH_INDIA,NORTH_INDIA,TROPICAL",DRIP,"Coimbatore,Erode,Salem,Dharmapuri,Tiruvannamalai",WESTERN_ZONE,BOREWELL,MODERATE,82
Chilli (Guntur),6.0,7.0,HIGH,HIGH,HIGH,MEDIUM,MEDIUM,20,30,Loamy,MEDIUM,All Season,130,HIGH,Mixed,PLAIN,MEDIUM,80,"SOUTH_INDIA,TROPICAL",DRIP,"Ramanathapuram,Sivagangai,Virudhunagar,Thoothukudi,Salem",DRY_ZONE,BOREWELL,HOT,82
Onion (Nashik),6.0,7.0,MEDIUM,HIGH,HIGH,LOW,LOW,13,28,Loamy,LOW,Rabi,115,HIGH,Chemical,PLAIN,LOW,82,"SOUTH_INDIA,SEMI_ARID",DRIP,"Erode,Salem,Namakkal,Tiruvannamalai,Villupuram",SEMI_ARID,BOREWELL,HOT,82
Banana (Cavendish),6.0,7.5,HIGH,HIGH,HIGH,HIGH,HIGH,18,35,Loamy,HIGH,All Season,290,HIGH,Chemical,RIVER_BELT,HIGH,85,"SOUTH_INDIA,TROPICAL",DRIP,"Tiruchirapalli,Theni,Erode,Thanjavur,Tenkasi",RIVER_BELT,RIVER,HUMID,88
Coconut (Hybrid),5.5,8.0,HIGH,MEDIUM,HIGH,HIGH,HIGH,22,37,Sandy,HIGH,All Season,365,HIGH,Mixed,COASTAL,HIGH,80,"SOUTH_INDIA,COASTAL,TROPICAL",DRIP,"Coimbatore,Tirupur,Erode,Tiruchirapalli,Thanjavur,Nagapattinam",COASTAL,MIXED,HUMID,84
Turmeric (Erode),5.5,7.0,HIGH,HIGH,HIGH,HIGH,HIGH,20,35,Loamy,HIGH,Kharif,265,HIGH,Organic,RIVER_BELT,HIGH,76,"SOUTH_INDIA,TROPICAL",DRIP,"Erode,Salem,Namakkal,Tiruchirapalli",WESTERN_ZONE,CANAL,HUMID,85
Ginger (Maran),5.5,6.5,HIGH,HIGH,HIGH,HIGH,HIGH,20,30,Loamy,HIGH,Kharif,205,HIGH,Mixed,HILL,HIGH,74,"SOUTH_INDIA,HILL_REGION,TROPICAL",DRIP,"Nilgiris,Theni,Dindigul",HILL,RAINFED,COOL,75
Mustard (Pusa Bold),5.5,7.0,HIGH,MEDIUM,MEDIUM,LOW,LOW,10,25,Loamy,LOW,Rabi,105,HIGH,Chemical,PLAIN,LOW,79,"NORTH_INDIA,TEMPERATE",SPRINKLER,"Tiruvannamalai,Vellore,Ranipet,Villupuram",SEMI_ARID,BOREWELL,MODERATE,58
Black Gram (T9),5.5,7.0,LOW,MEDIUM,LOW,MEDIUM,MEDIUM,25,35,Black Soil,MEDIUM,Kharif,70,MEDIUM,Organic,PLAIN,MEDIUM,67,"SOUTH_INDIA,NORTH_INDIA,TROPICAL",RAINFED,"Thanjavur,Tiruvarur,Nagapattinam,Cuddalore,Ramanathapuram",DELTA,CANAL,HUMID,70
Green Gram (Pusa Baishakhi),6.0,7.5,LOW,MEDIUM,LOW,MEDIUM,MEDIUM,25,38,Red Soil,MEDIUM,Kharif,60,MEDIUM,Organic,DRYLAND,MEDIUM,65,"SOUTH_INDIA,SEMI_ARID",RAINFED,"Ramanathapuram,Sivagangai,Thoothukudi,Tirunelveli",DRY_ZONE,RAINFED,DRY,65
Chickpea (Desi),6.0,9.0,LOW,MEDIUM,MEDIUM,LOW,LOW,10,28,Sandy,LOW,Rabi,90,MEDIUM,Organic,PLAIN,LOW,74,"NORTH_INDIA,SEMI_ARID",RAINFED,"Ramanathapuram,Sivagangai,Virudhunagar,Pudukkottai",DRY_ZONE,RAINFED,DRY,65
Pigeon Pea (ICPL),5.5,7.5,LOW,MEDIUM,LOW,LOW,LOW,22,35,Red Soil,LOW,Kharif,170,HIGH,Mixed,DRYLAND,MEDIUM,72,"SOUTH_INDIA,SEMI_ARID",RAINFED,"Ramanathapuram,Sivagangai,Tirunelveli,Thoothukudi",DRY_ZONE,RAINFED,DRY,70
Lentil (Masur),6.0,8.0,LOW,MEDIUM,LOW,LOW,LOW,15,25,Loamy,LOW,Rabi,75,MEDIUM,Organic,PLAIN,LOW,70,"NORTH_INDIA,TEMPERATE",RAINFED,"Nilgiris,Dindigul",HILL,RAINFED,COOL,38
Sorghum (CSV),5.5,7.5,MEDIUM,LOW,MEDIUM,LOW,LOW,25,40,Red Soil,LOW,Kharif,105,HIGH,Mixed,DRYLAND,LOW,72,"SOUTH_INDIA,SEMI_ARID",RAINFED,"Ramanathapuram,Sivagangai,Virudhunagar,Thoothukudi,Pudukkottai",DRY_ZONE,RAINFED,DRY,80
Pearl Millet (HHB),6.0,7.5,MEDIUM,LOW,LOW,LOW,LOW,28,42,Sandy,LOW,Kharif,70,HIGH,Mixed,DRYLAND,LOW,70,"NORTH_INDIA,SEMI_ARID",RAINFED,"Ramanathapuram,Sivagangai,Virudhunagar,Thoothukudi,Tirunelveli",DRY_ZONE,RAINFED,DRY,82
Finger Millet (CO),5.0,7.0,LOW,LOW,MEDIUM,MEDIUM,MEDIUM,18,30,Red Soil,MEDIUM,Kharif,100,MEDIUM,Mixed,DRYLAND,MEDIUM,65,"SOUTH_INDIA,SEMI_ARID",RAINFED,"Dharmapuri,Krishnagiri,Salem,Namakkal",SEMI_ARID,RAINFED,DRY,76
Foxtail Millet,5.5,7.5,LOW,LOW,LOW,LOW,LOW,25,40,Sandy,LOW,Kharif,75,LOW,Organic,DRYLAND,LOW,48,"SOUTH_INDIA,SEMI_ARID",RAINFED,"Ramanathapuram,Sivagangai,Tirunelveli,Virudhunagar",DRY_ZONE,RAINFED,DRY,48
Kodo Millet,4.5,7.5,LOW,LOW,LOW,LOW,LOW,25,40,Red Soil,LOW,Kharif,100,LOW,Organic,DRYLAND,LOW,42,"SOUTH_INDIA,SEMI_ARID",RAINFED,"Ramanathapuram,Sivagangai,Tirunelveli",DRY_ZONE,RAINFED,DRY,42
Little Millet,5.0,7.5,LOW,LOW,LOW,LOW,LOW,20,35,Red Soil,LOW,Kharif,85,LOW,Organic,DRYLAND,LOW,40,"SOUTH_INDIA,SEMI_ARID",RAINFED,"Ramanathapuram,Sivagangai,Dharmapuri",DRY_ZONE,RAINFED,DRY,40
Proso Millet,5.5,7.5,LOW,LOW,LOW,LOW,LOW,20,38,Sandy,LOW,Summer,60,LOW,Organic,DRYLAND,LOW,38,SEMI_ARID,RAINFED,"Ramanathapuram,Tirunelveli,Thoothukudi",DRY_ZONE,RAINFED,DRY,35
Barnyard Millet,5.0,7.5,LOW,LOW,LOW,LOW,LOW,18,38,Red Soil,LOW,Kharif,90,LOW,Organic,DRYLAND,LOW,38,"SOUTH_INDIA,SEMI_ARID",RAINFED,"Ramanathapuram,Sivagangai,Tirunelveli",DRY_ZONE,RAINFED,DRY,35
Job's Tears,5.5,7.0,MEDIUM,MEDIUM,LOW,HIGH,HIGH,18,35,Loamy,HIGH,Kharif,150,LOW,Organic,HILL,HIGH,32,"HILL_REGION,TROPICAL",RAINFED,"Nilgiris,Theni,Dindigul",HILL,RAINFED,HUMID,28
